
2024-06-27 20:39:01,437 - INFO - started stock data stream
2024-06-27 20:39:01,437 - INFO - starting stock data websocket connection
2024-06-27 20:39:01,924 - INFO - connected to: wss://stream.data.alpaca.markets/v2/iex
2024-06-27 20:39:02,134 - INFO - subscribed to trades: [], quotes: [], bars: ['AAPL', 'AMZN', 'GOOG', 'META', 'MSFT', 'NFLX', 'NVDA', 'PYPL', 'TSLA', 'V'], updatedBars: [], dailyBars: [], statuses: [], lulds: [], cancelErrors: [], corrections: []
2024-06-27 20:40:00,118 - INFO - Received new bar data for MSFT: 452.5
2024-06-27 20:40:01,270 - INFO - Received new bar data for NVDA: 123.94
2024-06-27 20:40:01,454 - INFO - Holding 0.563653769 shares of AAPL at 214.0 per share, market value: 120.621906566
2024-06-27 20:40:01,454 - INFO - Holding 0.628663333 shares of AMZN at 198.215 per share, market value: 124.610502550595
2024-06-27 20:40:01,454 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:01,456 - INFO - Holding 0.039012 shares of META at 519.3754 per share, market value: 20.2618731048
2024-06-27 20:40:01,456 - INFO - Holding 0.420432778 shares of MSFT at 452.51 per share, market value: 190.25003637278
2024-06-27 20:40:01,456 - INFO - Holding 0.0889 shares of NFLX at 684.995 per share, market value: 60.8960555
2024-06-27 20:40:01,456 - INFO - Holding 0.080561 shares of NVDA at 123.98 per share, market value: 9.98795278
2024-06-27 20:40:01,457 - INFO - Holding 2.743488 shares of PYPL at 58.255 per share, market value: 159.82189344
2024-06-27 20:40:01,457 - INFO - Holding 1.0 shares of SPY at 545.79 per share, market value: 545.79
2024-06-27 20:40:01,457 - INFO - Holding 0.685021999 shares of TSLA at 196.932 per share, market value: 134.902752307068
2024-06-27 20:40:01,457 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:40:01,457 - INFO - Total portfolio value: 1654.5442564127031, Available cash: 98395.48
2024-06-27 20:40:01,457 - INFO - Neutral signal received for NVDA, no trade executed
2024-06-27 20:40:01,457 - INFO - Received new bar data for TSLA: 196.91
2024-06-27 20:40:01,634 - INFO - Holding 0.563653769 shares of AAPL at 214.0 per share, market value: 120.621906566
2024-06-27 20:40:01,634 - INFO - Holding 0.628663333 shares of AMZN at 198.215 per share, market value: 124.610502550595
2024-06-27 20:40:01,634 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:01,635 - INFO - Holding 0.039012 shares of META at 519.365 per share, market value: 20.26146738
2024-06-27 20:40:01,635 - INFO - Holding 0.420432778 shares of MSFT at 452.51 per share, market value: 190.25003637278
2024-06-27 20:40:01,635 - INFO - Holding 0.0889 shares of NFLX at 684.99 per share, market value: 60.895611
2024-06-27 20:40:01,635 - INFO - Holding 0.080561 shares of NVDA at 123.97 per share, market value: 9.98714717
2024-06-27 20:40:01,635 - INFO - Holding 2.743488 shares of PYPL at 58.255 per share, market value: 159.82189344
2024-06-27 20:40:01,635 - INFO - Holding 1.0 shares of SPY at 545.79 per share, market value: 545.79
2024-06-27 20:40:01,635 - INFO - Holding 0.685021999 shares of TSLA at 196.9232 per share, market value: 134.8967241134768
2024-06-27 20:40:01,635 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:40:01,635 - INFO - Total portfolio value: 1654.5365723843117, Available cash: 98395.48
2024-06-27 20:40:01,635 - INFO - Neutral signal received for TSLA, no trade executed
2024-06-27 20:40:01,635 - INFO - Received new bar data for GOOG: 186.73
2024-06-27 20:40:01,842 - INFO - Holding 0.563653769 shares of AAPL at 214.0 per share, market value: 120.621906566
2024-06-27 20:40:01,842 - INFO - Holding 0.628663333 shares of AMZN at 198.215 per share, market value: 124.610502550595
2024-06-27 20:40:01,842 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:01,842 - INFO - Holding 0.039012 shares of META at 519.365 per share, market value: 20.26146738
2024-06-27 20:40:01,842 - INFO - Holding 0.420432778 shares of MSFT at 452.53 per share, market value: 190.25844502834
2024-06-27 20:40:01,842 - INFO - Holding 0.0889 shares of NFLX at 684.99 per share, market value: 60.895611
2024-06-27 20:40:01,842 - INFO - Holding 0.080561 shares of NVDA at 123.97 per share, market value: 9.98714717
2024-06-27 20:40:01,842 - INFO - Holding 2.743488 shares of PYPL at 58.26 per share, market value: 159.83561088
2024-06-27 20:40:01,843 - INFO - Holding 1.0 shares of SPY at 545.79 per share, market value: 545.79
2024-06-27 20:40:01,843 - INFO - Holding 0.685021999 shares of TSLA at 196.935 per share, market value: 134.904807373065
2024-06-27 20:40:01,843 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:40:01,843 - INFO - Total portfolio value: 1654.5667817394599, Available cash: 98395.48
2024-06-27 20:40:01,843 - INFO - Neutral signal received for GOOG, no trade executed
2024-06-27 20:40:01,843 - INFO - Received new bar data for AMZN: 198.195
2024-06-27 20:40:02,020 - INFO - Holding 0.563653769 shares of AAPL at 214.0 per share, market value: 120.621906566
2024-06-27 20:40:02,020 - INFO - Holding 0.628663333 shares of AMZN at 198.215 per share, market value: 124.610502550595
2024-06-27 20:40:02,020 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:02,020 - INFO - Holding 0.039012 shares of META at 519.365 per share, market value: 20.26146738
2024-06-27 20:40:02,020 - INFO - Holding 0.420432778 shares of MSFT at 452.53 per share, market value: 190.25844502834
2024-06-27 20:40:02,020 - INFO - Holding 0.0889 shares of NFLX at 684.99 per share, market value: 60.895611
2024-06-27 20:40:02,020 - INFO - Holding 0.080561 shares of NVDA at 123.97 per share, market value: 9.98714717
2024-06-27 20:40:02,020 - INFO - Holding 2.743488 shares of PYPL at 58.252 per share, market value: 159.813662976
2024-06-27 20:40:02,020 - INFO - Holding 1.0 shares of SPY at 545.79 per share, market value: 545.79
2024-06-27 20:40:02,020 - INFO - Holding 0.685021999 shares of TSLA at 196.935 per share, market value: 134.904807373065
2024-06-27 20:40:02,021 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:40:02,021 - INFO - Total portfolio value: 1654.54483383546, Available cash: 98395.48
2024-06-27 20:40:02,021 - INFO - Neutral signal received for AMZN, no trade executed
2024-06-27 20:41:00,123 - INFO - Received new bar data for AAPL: 214.0
2024-06-27 20:41:00,310 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:00,311 - INFO - Holding 0.628663333 shares of AMZN at 198.1 per share, market value: 124.5382062673
2024-06-27 20:41:00,311 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:00,312 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:00,312 - INFO - Holding 0.420432778 shares of MSFT at 452.49 per share, market value: 190.24162771722
2024-06-27 20:41:00,313 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:00,313 - INFO - Holding 0.080561 shares of NVDA at 123.96 per share, market value: 9.98634156
2024-06-27 20:41:00,313 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:00,314 - INFO - Holding 1.0 shares of SPY at 545.76 per share, market value: 545.76
2024-06-27 20:41:00,314 - INFO - Holding 0.685021999 shares of TSLA at 197.0888 per share, market value: 135.0101637565112
2024-06-27 20:41:00,314 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:00,314 - INFO - Total portfolio value: 1654.483542861091, Available cash: 98395.48
2024-06-27 20:41:00,315 - INFO - Neutral signal received for AAPL, no trade executed
2024-06-27 20:41:00,315 - INFO - Received new bar data for META: 519.33
2024-06-27 20:41:00,487 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:00,488 - INFO - Holding 0.628663333 shares of AMZN at 198.1 per share, market value: 124.5382062673
