Parameters,Cumulative Return,Sharpe Ratio,Max Drawdown,Time
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.06}",0.0029809079507056697,0.027784256147714476,-0.019607943138398087,24.975048542022705
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.07}",0.0009997014427712487,0.026803157705158467,-0.019607943138398087,25.426437854766846
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.04}",-0.000998359309082458,0.02588020883342759,-0.019607943138398087,25.248043298721313
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.05}",-0.0009977811417176458,0.025878187860410663,-0.019607943138398087,26.054009675979614
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.06}",0.0049840544754466,0.028534607011825804,-0.019607943138398087,26.068647861480713
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.07}",0.0029809079507056697,0.027575882236167953,-0.019607943138398087,25.403972148895264
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.04}",0.0009997014427712487,0.026713602903016314,-0.019607943138398087,25.061386346817017
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.05}",-0.000998359309082458,0.025897332410527538,-0.019607943138398087,25.14005708694458
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.06}",-0.0009977811417176458,0.02589517382063743,-0.019607943138398087,25.766342163085938
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.07}",0.0049840544754466,0.028263166086988235,-0.019607943138398087,25.33210849761963
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.04}",0.0029809079507056697,0.02741182351803123,-0.019607943138398087,25.25144386291504
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",0.0009997014427712487,0.026642705829655656,-0.019607943138398087,26.632120847702026
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06}",-0.000998359309082458,0.025911004379175775,-0.019607943138398087,25.429717302322388
"{'window': 15, 'allocation_per_trade': 75, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.07}",-0.0009977811417176458,0.025908800619780382,-0.019607943138398087,26.198825359344482
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.04}",0.0029809079507056697,0.02731357376796677,-0.019607943138398087,25.37080979347229
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.05}",-0.0009979150893077561,0.025914768506935387,-0.019607943138398087,25.19582438468933
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.06}",0.0049840544754466,0.027970102565401236,-0.019607943138398087,25.348947048187256
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.07}",0.0009997014427712487,0.02660137737564975,-0.019607943138398087,25.275719165802002
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.04}",-0.0009977811417176458,0.025923067830284047,-0.019607943138398087,26.104153156280518
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.05}",0.0029809079507056697,0.02720212338801512,-0.019607943138398087,25.327518224716187
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.06}",-0.0009979150893077561,0.025928015837197414,-0.019607943138398087,25.11443066596985
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.07}",0.0049840544754466,0.02780595916006255,-0.019607943138398087,25.271048307418823
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.04}",0.0009997014427712487,0.02655601506175208,-0.019607943138398087,25.202731609344482
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.05}",0.0049840544754466,0.02775157884777161,-0.019607943138398087,25.635934591293335
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.06}",-0.0009979150893077561,0.025955660084699128,-0.019607943138398087,25.228052854537964
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.07}",0.0029809079507056697,0.02710956515851153,-0.019607943138398087,25.947376251220703
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.04}",-0.0009977811417176458,0.02593619800572212,-0.019607943138398087,25.11730933189392
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",0.0009997014427712487,0.02651986902095675,-0.019607943138398087,26.19605565071106
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06}",0.0049840544754466,0.027623882471360474,-0.019607943138398087,24.91070246696472
"{'window': 15, 'allocation_per_trade': 100, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.07}",-0.0009979150893077561,0.02596613849588938,-0.019607943138398087,25.105597019195557
